priority,code,company_name,industry,status,source_urls,bmc_md_path,image_path,reviewer_notes,updated_at,index_weight,official_ir_url,prompt_path
11,7011,三菱重工業,機械,bmc_draft_needs_source_review,https://www.mhi.com/jp/finance/ | https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv | https://www.jpx.co.jp/markets/statistics-equities/misc/01.html | https://disclosure2dl.edinet-fsa.go.jp/guide/static/disclosure/download/ESE140206.pdf | https://www.jpx.co.jp/listing/disclosure/01.html,companies/11_7011_mhi.md,images/11_7011_mhi_bmc.png,初期ドラフト。公開前に公式資料で要レビュー。,2026-06-10,1.6670%,https://www.mhi.com/jp/finance/,prompts/chatgpt_image/11_7011_mhi.txt
12,6857,アドバンテスト,電気機器,bmc_draft_needs_source_review,https://www.advantest.com/ja/investors/ | https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv | https://www.jpx.co.jp/markets/statistics-equities/misc/01.html | https://disclosure2dl.edinet-fsa.go.jp/guide/static/disclosure/download/ESE140206.pdf | https://www.jpx.co.jp/listing/disclosure/01.html,companies/12_6857_advantest.md,images/12_6857_advantest_bmc.png,初期ドラフト。公開前に公式資料で要レビュー。,2026-06-10,1.6242%,https://www.advantest.com/ja/investors/,prompts/chatgpt_image/12_6857_advantest.txt
13,8766,東京海上ホールディングス,保険業,bmc_draft_needs_source_review,https://www.tokiomarinehd.com/ir/ | https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv | https://www.jpx.co.jp/markets/statistics-equities/misc/01.html | https://disclosure2dl.edinet-fsa.go.jp/guide/static/disclosure/download/ESE140206.pdf | https://www.jpx.co.jp/listing/disclosure/01.html,companies/13_8766_tokio-marine.md,images/13_8766_tokio-marine_bmc.png,初期ドラフト。公開前に公式資料で要レビュー。,2026-06-10,1.3919%,https://www.tokiomarinehd.com/ir/,prompts/chatgpt_image/13_8766_tokio-marine.txt
14,6861,キーエンス,電気機器,bmc_draft_needs_source_review,https://www.keyence.co.jp/investor/ | https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv | https://www.jpx.co.jp/markets/statistics-equities/misc/01.html | https://disclosure2dl.edinet-fsa.go.jp/guide/static/disclosure/download/ESE140206.pdf | https://www.jpx.co.jp/listing/disclosure/01.html,companies/14_6861_keyence.md,images/14_6861_keyence_bmc.png,初期ドラフト。公開前に公式資料で要レビュー。,2026-06-10,1.3615%,https://www.keyence.co.jp/investor/,prompts/chatgpt_image/14_6861_keyence.txt
15,6503,三菱電機,電気機器,bmc_draft_needs_source_review,https://www.mitsubishielectric.co.jp/investors/ | https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv | https://www.jpx.co.jp/markets/statistics-equities/misc/01.html | https://disclosure2dl.edinet-fsa.go.jp/guide/static/disclosure/download/ESE140206.pdf | https://www.jpx.co.jp/listing/disclosure/01.html,companies/15_6503_mitsubishi-electric.md,images/15_6503_mitsubishi-electric_bmc.png,初期ドラフト。公開前に公式資料で要レビュー。,2026-06-10,1.3158%,https://www.mitsubishielectric.co.jp/investors/,prompts/chatgpt_image/15_6503_mitsubishi-electric.txt
16,8001,伊藤忠商事,卸売業,bmc_draft_needs_source_review,https://www.itochu.co.jp/ja/ir/ | https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv | https://www.jpx.co.jp/markets/statistics-equities/misc/01.html | https://disclosure2dl.edinet-fsa.go.jp/guide/static/disclosure/download/ESE140206.pdf | https://www.jpx.co.jp/listing/disclosure/01.html,companies/16_8001_itochu.md,images/16_8001_itochu_bmc.png,初期ドラフト。公開前に公式資料で要レビュー。,2026-06-10,1.3154%,https://www.itochu.co.jp/ja/ir/,prompts/chatgpt_image/16_8001_itochu.txt
17,4063,信越化学工業,化学,bmc_draft_needs_source_review,https://www.shinetsu.co.jp/jp/ir/ | https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv | https://www.jpx.co.jp/markets/statistics-equities/misc/01.html | https://disclosure2dl.edinet-fsa.go.jp/guide/static/disclosure/download/ESE140206.pdf | https://www.jpx.co.jp/listing/disclosure/01.html,companies/17_4063_shin-etsu-chemical.md,images/17_4063_shin-etsu-chemical_bmc.png,初期ドラフト。公開前に公式資料で要レビュー。,2026-06-10,1.2320%,https://www.shinetsu.co.jp/jp/ir/,prompts/chatgpt_image/17_4063_shin-etsu-chemical.txt
18,7741,HOYA,精密機器,bmc_draft_needs_source_review,https://www.hoya.com/ir/ | https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv | https://www.jpx.co.jp/markets/statistics-equities/misc/01.html | https://disclosure2dl.edinet-fsa.go.jp/guide/static/disclosure/download/ESE140206.pdf | https://www.jpx.co.jp/listing/disclosure/01.html,companies/18_7741_hoya.md,images/18_7741_hoya_bmc.png,初期ドラフト。公開前に公式資料で要レビュー。,2026-06-10,1.0544%,https://www.hoya.com/ir/,prompts/chatgpt_image/18_7741_hoya.txt
19,9983,ファーストリテイリング,小売業,bmc_draft_needs_source_review,https://www.fastretailing.com/jp/ir/ | https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv | https://www.jpx.co.jp/markets/statistics-equities/misc/01.html | https://disclosure2dl.edinet-fsa.go.jp/guide/static/disclosure/download/ESE140206.pdf | https://www.jpx.co.jp/listing/disclosure/01.html,companies/19_9983_fast-retailing.md,images/19_9983_fast-retailing_bmc.png,初期ドラフト。公開前に公式資料で要レビュー。,2026-06-10,1.0029%,https://www.fastretailing.com/jp/ir/,prompts/chatgpt_image/19_9983_fast-retailing.txt
20,6098,リクルートホールディングス,サービス業,bmc_draft_needs_source_review,https://recruit-holdings.com/ja/ir/ | https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv | https://www.jpx.co.jp/markets/statistics-equities/misc/01.html | https://disclosure2dl.edinet-fsa.go.jp/guide/static/disclosure/download/ESE140206.pdf | https://www.jpx.co.jp/listing/disclosure/01.html,companies/20_6098_recruit.md,images/20_6098_recruit_bmc.png,初期ドラフト。公開前に公式資料で要レビュー。,2026-06-10,0.9978%,https://recruit-holdings.com/ja/ir/,prompts/chatgpt_image/20_6098_recruit.txt
21,7974,任天堂,その他製品,bmc_draft_needs_source_review,https://www.nintendo.co.jp/ir/ | https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv | https://www.jpx.co.jp/markets/statistics-equities/misc/01.html | https://disclosure2dl.edinet-fsa.go.jp/guide/static/disclosure/download/ESE140206.pdf | https://www.jpx.co.jp/listing/disclosure/01.html,companies/21_7974_nintendo.md,images/21_7974_nintendo_bmc.png,初期ドラフト。公開前に公式資料で要レビュー。,2026-06-10,0.9182%,https://www.nintendo.co.jp/ir/,prompts/chatgpt_image/21_7974_nintendo.txt
22,4502,武田薬品工業,医薬品,bmc_draft_needs_source_review,https://www.takeda.com/jp/investors/overview/ | https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv | https://www.jpx.co.jp/markets/statistics-equities/misc/01.html | https://disclosure2dl.edinet-fsa.go.jp/guide/static/disclosure/download/ESE140206.pdf | https://www.jpx.co.jp/listing/disclosure/01.html,companies/22_4502_takeda.md,images/22_4502_takeda_bmc.png,初期ドラフト。公開前に公式資料で要レビュー。,2026-06-10,0.8978%,https://www.takeda.com/jp/investors/overview/,prompts/chatgpt_image/22_4502_takeda.txt
23,9432,NTT,情報・通信業,bmc_draft_needs_source_review,https://group.ntt/jp/ir/ | https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv | https://www.jpx.co.jp/markets/statistics-equities/misc/01.html | https://disclosure2dl.edinet-fsa.go.jp/guide/static/disclosure/download/ESE140206.pdf | https://www.jpx.co.jp/listing/disclosure/01.html,companies/23_9432_ntt.md,images/23_9432_ntt_bmc.png,初期ドラフト。公開前に公式資料で要レビュー。,2026-06-10,0.8016%,https://group.ntt/jp/ir/,prompts/chatgpt_image/23_9432_ntt.txt
24,9433,KDDI,情報・通信業,bmc_draft_needs_source_review,https://www.kddi.com/corporate/ir/ | https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv | https://www.jpx.co.jp/markets/statistics-equities/misc/01.html | https://disclosure2dl.edinet-fsa.go.jp/guide/static/disclosure/download/ESE140206.pdf | https://www.jpx.co.jp/listing/disclosure/01.html,companies/24_9433_kddi.md,images/24_9433_kddi_bmc.png,初期ドラフト。公開前に公式資料で要レビュー。,2026-06-10,0.6948%,https://www.kddi.com/corporate/ir/,prompts/chatgpt_image/24_9433_kddi.txt
25,9434,ソフトバンク,情報・通信業,bmc_draft_needs_source_review,https://www.softbank.jp/corp/ir/ | https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv | https://www.jpx.co.jp/markets/statistics-equities/misc/01.html | https://disclosure2dl.edinet-fsa.go.jp/guide/static/disclosure/download/ESE140206.pdf | https://www.jpx.co.jp/listing/disclosure/01.html,companies/25_9434_softbank-corp.md,images/25_9434_softbank-corp_bmc.png,初期ドラフト。公開前に公式資料で要レビュー。,2026-06-10,0.6838%,https://www.softbank.jp/corp/ir/,prompts/chatgpt_image/25_9434_softbank-corp.txt
26,2914,日本たばこ産業,食料品,bmc_draft_needs_source_review,https://www.jti.co.jp/investors/ | https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv | https://www.jpx.co.jp/markets/statistics-equities/misc/01.html | https://disclosure2dl.edinet-fsa.go.jp/guide/static/disclosure/download/ESE140206.pdf | https://www.jpx.co.jp/listing/disclosure/01.html,companies/26_2914_jt.md,images/26_2914_jt_bmc.png,初期ドラフト。公開前に公式資料で要レビュー。,2026-06-10,0.6698%,https://www.jti.co.jp/investors/,prompts/chatgpt_image/26_2914_jt.txt
27,6367,ダイキン工業,機械,bmc_draft_needs_source_review,https://www.daikin.co.jp/investor/ | https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv | https://www.jpx.co.jp/markets/statistics-equities/misc/01.html | https://disclosure2dl.edinet-fsa.go.jp/guide/static/disclosure/download/ESE140206.pdf | https://www.jpx.co.jp/listing/disclosure/01.html,companies/27_6367_daikin.md,images/27_6367_daikin_bmc.png,初期ドラフト。公開前に公式資料で要レビュー。,2026-06-10,0.5515%,https://www.daikin.co.jp/investor/,prompts/chatgpt_image/27_6367_daikin.txt
28,4568,第一三共,医薬品,bmc_draft_needs_source_review,https://www.daiichisankyo.co.jp/investors/ | https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv | https://www.jpx.co.jp/markets/statistics-equities/misc/01.html | https://disclosure2dl.edinet-fsa.go.jp/guide/static/disclosure/download/ESE140206.pdf | https://www.jpx.co.jp/listing/disclosure/01.html,companies/28_4568_daiichi-sankyo.md,images/28_4568_daiichi-sankyo_bmc.png,初期ドラフト。公開前に公式資料で要レビュー。,2026-06-10,0.4550%,https://www.daiichisankyo.co.jp/investors/,prompts/chatgpt_image/28_4568_daiichi-sankyo.txt
29,7267,本田技研工業,輸送用機器,bmc_draft_needs_source_review,https://global.honda/jp/investors/ | https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv | https://www.jpx.co.jp/markets/statistics-equities/misc/01.html | https://disclosure2dl.edinet-fsa.go.jp/guide/static/disclosure/download/ESE140206.pdf | https://www.jpx.co.jp/listing/disclosure/01.html,companies/29_7267_honda.md,images/29_7267_honda_bmc.png,初期ドラフト。公開前に公式資料で要レビュー。,2026-06-10,0.4508%,https://global.honda/jp/investors/,prompts/chatgpt_image/29_7267_honda.txt
30,3382,セブン＆アイ・ホールディングス,小売業,bmc_draft_needs_source_review,https://www.7andi.com/ir/ | https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv | https://www.jpx.co.jp/markets/statistics-equities/misc/01.html | https://disclosure2dl.edinet-fsa.go.jp/guide/static/disclosure/download/ESE140206.pdf | https://www.jpx.co.jp/listing/disclosure/01.html,companies/30_3382_seven-and-i.md,images/30_3382_seven-and-i_bmc.png,初期ドラフト。公開前に公式資料で要レビュー。,2026-06-10,0.4174%,https://www.7andi.com/ir/,prompts/chatgpt_image/30_3382_seven-and-i.txt
