company_priority,company_code,company_name,industry,business_priority,business_id,business_name,status,split_reason,source_requirements,business_bmc_md_path,image_path,reviewer_notes,updated_at,draft_quality,same_template_group_size,same_template_businesses,research_next_step
1,8306,三菱UFJフィナンシャル・グループ,銀行業,1,8306-01-business,法人・リテール,source_review,国内個人・中堅中小企業・富裕層向けの預金、決済、融資、資産運用を一体で扱うため、法人/個人接点を事業単位で深掘りする,https://www.mufg.jp/ir/fs/2025/index.html | https://www.mufg.jp/dam/ir/fs/2025/pdf/summary2603_ja.pdf | https://www.mufg.jp/ir/presentation/2025/index.html | https://www.mufg.jp/dam/ir/presentation/2025/pdf/slides2603_ja.pdf | https://www.mufg.jp/dam/ir/fs/2025/pdf/summary2506_en.pdf,business_bmcs/8306/8306-01-business.md,images/business_bmcs/8306/8306-01-business.png,公式資料に基づく事業別初期案。未確認のKPI・主要商品別収益は追加レビュー。,2026-06-11,source_based_draft,1,法人・リテール,公式資料のセグメント別KPI、主要商品別収益、顧客別収益で記述を追加検証する
4,8316,三井住友フィナンシャルグループ,銀行業,1,8316-01-business,ホールセール,template_only,公式セグメントまたは主要事業を起点にした深掘り候補,https://www.smfg.co.jp/investor/ | 有価証券報告書 | 決算説明資料 | 統合報告書または中期経営計画 | 事業別ページまたは製品/サービスページ,business_bmcs/8316/8316-01-business.md,images/business_bmcs/8316/8316-01-business.png,テンプレート初期案。同一企業内で同じ原型BMCを共有する候補が3件あります: ホールセール、リテール、グローバル。公式資料で事業別に再調査してください。,2026-06-11,template_only,3,ホールセール、リテール、グローバル,公式資料で事業境界、主要顧客、価値提案、収益源を確認し、このテンプレート初期案を事業固有のBMCへ更新する
4,8316,三井住友フィナンシャルグループ,銀行業,2,8316-02-business,リテール,template_only,公式セグメントまたは主要事業を起点にした深掘り候補,https://www.smfg.co.jp/investor/ | 有価証券報告書 | 決算説明資料 | 統合報告書または中期経営計画 | 事業別ページまたは製品/サービスページ,business_bmcs/8316/8316-02-business.md,images/business_bmcs/8316/8316-02-business.png,テンプレート初期案。同一企業内で同じ原型BMCを共有する候補が3件あります: ホールセール、リテール、グローバル。公式資料で事業別に再調査してください。,2026-06-11,template_only,3,ホールセール、リテール、グローバル,公式資料で事業境界、主要顧客、価値提案、収益源を確認し、このテンプレート初期案を事業固有のBMCへ更新する
4,8316,三井住友フィナンシャルグループ,銀行業,3,8316-03-business,グローバル,template_only,公式セグメントまたは主要事業を起点にした深掘り候補,https://www.smfg.co.jp/investor/ | 有価証券報告書 | 決算説明資料 | 統合報告書または中期経営計画 | 事業別ページまたは製品/サービスページ,business_bmcs/8316/8316-03-business.md,images/business_bmcs/8316/8316-03-business.png,テンプレート初期案。同一企業内で同じ原型BMCを共有する候補が3件あります: ホールセール、リテール、グローバル。公式資料で事業別に再調査してください。,2026-06-11,template_only,3,ホールセール、リテール、グローバル,公式資料で事業境界、主要顧客、価値提案、収益源を確認し、このテンプレート初期案を事業固有のBMCへ更新する
4,8316,三井住友フィナンシャルグループ,銀行業,4,8316-04-business,市場,template_only,公式セグメントまたは主要事業を起点にした深掘り候補,https://www.smfg.co.jp/investor/ | 有価証券報告書 | 決算説明資料 | 統合報告書または中期経営計画 | 事業別ページまたは製品/サービスページ,business_bmcs/8316/8316-04-business.md,images/business_bmcs/8316/8316-04-business.png,テンプレート初期案。公式資料で事業境界、KPI、根拠URLを確認し、事業固有の記述へ更新してください。,2026-06-11,template_only,1,市場,公式資料で事業境界、主要顧客、価値提案、収益源を確認し、このテンプレート初期案を事業固有のBMCへ更新する
5,6758,ソニーグループ,電気機器,1,6758-01-business,ゲーム&ネットワークサービス,template_only,公式セグメントまたは主要事業を起点にした深掘り候補,https://www.sony.com/ja/SonyInfo/IR/ | 有価証券報告書 | 決算説明資料 | 統合報告書または中期経営計画 | 事業別ページまたは製品/サービスページ,business_bmcs/6758/6758-01-business.md,images/business_bmcs/6758/6758-01-business.png,テンプレート初期案。同一企業内で同じ原型BMCを共有する候補が2件あります: ゲーム&ネットワークサービス、音楽。公式資料で事業別に再調査してください。,2026-06-11,template_only,2,ゲーム&ネットワークサービス、音楽,公式資料で事業境界、主要顧客、価値提案、収益源を確認し、このテンプレート初期案を事業固有のBMCへ更新する
5,6758,ソニーグループ,電気機器,2,6758-02-business,音楽,template_only,公式セグメントまたは主要事業を起点にした深掘り候補,https://www.sony.com/ja/SonyInfo/IR/ | 有価証券報告書 | 決算説明資料 | 統合報告書または中期経営計画 | 事業別ページまたは製品/サービスページ,business_bmcs/6758/6758-02-business.md,images/business_bmcs/6758/6758-02-business.png,テンプレート初期案。同一企業内で同じ原型BMCを共有する候補が2件あります: ゲーム&ネットワークサービス、音楽。公式資料で事業別に再調査してください。,2026-06-11,template_only,2,ゲーム&ネットワークサービス、音楽,公式資料で事業境界、主要顧客、価値提案、収益源を確認し、このテンプレート初期案を事業固有のBMCへ更新する
5,6758,ソニーグループ,電気機器,3,6758-03-business,映画,template_only,公式セグメントまたは主要事業を起点にした深掘り候補,https://www.sony.com/ja/SonyInfo/IR/ | 有価証券報告書 | 決算説明資料 | 統合報告書または中期経営計画 | 事業別ページまたは製品/サービスページ,business_bmcs/6758/6758-03-business.md,images/business_bmcs/6758/6758-03-business.png,テンプレート初期案。公式資料で事業境界、KPI、根拠URLを確認し、事業固有の記述へ更新してください。,2026-06-11,template_only,1,映画,公式資料で事業境界、主要顧客、価値提案、収益源を確認し、このテンプレート初期案を事業固有のBMCへ更新する
5,6758,ソニーグループ,電気機器,4,6758-04-business,エンタテインメント・テクノロジー&サービス,template_only,公式セグメントまたは主要事業を起点にした深掘り候補,https://www.sony.com/ja/SonyInfo/IR/ | 有価証券報告書 | 決算説明資料 | 統合報告書または中期経営計画 | 事業別ページまたは製品/サービスページ,business_bmcs/6758/6758-04-business.md,images/business_bmcs/6758/6758-04-business.png,テンプレート初期案。公式資料で事業境界、KPI、根拠URLを確認し、事業固有の記述へ更新してください。,2026-06-11,template_only,1,エンタテインメント・テクノロジー&サービス,公式資料で事業境界、主要顧客、価値提案、収益源を確認し、このテンプレート初期案を事業固有のBMCへ更新する
5,6758,ソニーグループ,電気機器,5,6758-05-business,イメージング&センシング・ソリューション,template_only,公式セグメントまたは主要事業を起点にした深掘り候補,https://www.sony.com/ja/SonyInfo/IR/ | 有価証券報告書 | 決算説明資料 | 統合報告書または中期経営計画 | 事業別ページまたは製品/サービスページ,business_bmcs/6758/6758-05-business.md,images/business_bmcs/6758/6758-05-business.png,テンプレート初期案。公式資料で事業境界、KPI、根拠URLを確認し、事業固有の記述へ更新してください。,2026-06-11,template_only,1,イメージング&センシング・ソリューション,公式資料で事業境界、主要顧客、価値提案、収益源を確認し、このテンプレート初期案を事業固有のBMCへ更新する
6,8058,三菱商事,卸売業,1,8058-01-business,天然ガス,template_only,公式セグメントまたは主要事業を起点にした深掘り候補,https://www.mitsubishicorp.com/jp/ja/ir/ | 有価証券報告書 | 決算説明資料 | 統合報告書または中期経営計画 | 事業別ページまたは製品/サービスページ,business_bmcs/8058/8058-01-business.md,images/business_bmcs/8058/8058-01-business.png,テンプレート初期案。同一企業内で同じ原型BMCを共有する候補が2件あります: 天然ガス、食品産業。公式資料で事業別に再調査してください。,2026-06-11,template_only,2,天然ガス、食品産業,公式資料で事業境界、主要顧客、価値提案、収益源を確認し、このテンプレート初期案を事業固有のBMCへ更新する
6,8058,三菱商事,卸売業,2,8058-02-business,総合素材,template_only,公式セグメントまたは主要事業を起点にした深掘り候補,https://www.mitsubishicorp.com/jp/ja/ir/ | 有価証券報告書 | 決算説明資料 | 統合報告書または中期経営計画 | 事業別ページまたは製品/サービスページ,business_bmcs/8058/8058-02-business.md,images/business_bmcs/8058/8058-02-business.png,テンプレート初期案。公式資料で事業境界、KPI、根拠URLを確認し、事業固有の記述へ更新してください。,2026-06-11,template_only,1,総合素材,公式資料で事業境界、主要顧客、価値提案、収益源を確認し、このテンプレート初期案を事業固有のBMCへ更新する
6,8058,三菱商事,卸売業,3,8058-03-business,金属資源,template_only,公式セグメントまたは主要事業を起点にした深掘り候補,https://www.mitsubishicorp.com/jp/ja/ir/ | 有価証券報告書 | 決算説明資料 | 統合報告書または中期経営計画 | 事業別ページまたは製品/サービスページ,business_bmcs/8058/8058-03-business.md,images/business_bmcs/8058/8058-03-business.png,テンプレート初期案。同一企業内で同じ原型BMCを共有する候補が2件あります: 金属資源、複合都市開発。公式資料で事業別に再調査してください。,2026-06-11,template_only,2,金属資源、複合都市開発,公式資料で事業境界、主要顧客、価値提案、収益源を確認し、このテンプレート初期案を事業固有のBMCへ更新する
6,8058,三菱商事,卸売業,4,8058-04-business,食品産業,template_only,公式セグメントまたは主要事業を起点にした深掘り候補,https://www.mitsubishicorp.com/jp/ja/ir/ | 有価証券報告書 | 決算説明資料 | 統合報告書または中期経営計画 | 事業別ページまたは製品/サービスページ,business_bmcs/8058/8058-04-business.md,images/business_bmcs/8058/8058-04-business.png,テンプレート初期案。同一企業内で同じ原型BMCを共有する候補が2件あります: 天然ガス、食品産業。公式資料で事業別に再調査してください。,2026-06-11,template_only,2,天然ガス、食品産業,公式資料で事業境界、主要顧客、価値提案、収益源を確認し、このテンプレート初期案を事業固有のBMCへ更新する
6,8058,三菱商事,卸売業,5,8058-05-business,モビリティ,template_only,公式セグメントまたは主要事業を起点にした深掘り候補,https://www.mitsubishicorp.com/jp/ja/ir/ | 有価証券報告書 | 決算説明資料 | 統合報告書または中期経営計画 | 事業別ページまたは製品/サービスページ,business_bmcs/8058/8058-05-business.md,images/business_bmcs/8058/8058-05-business.png,テンプレート初期案。公式資料で事業境界、KPI、根拠URLを確認し、事業固有の記述へ更新してください。,2026-06-11,template_only,1,モビリティ,公式資料で事業境界、主要顧客、価値提案、収益源を確認し、このテンプレート初期案を事業固有のBMCへ更新する
6,8058,三菱商事,卸売業,6,8058-06-business,電力ソリューション,template_only,公式セグメントまたは主要事業を起点にした深掘り候補,https://www.mitsubishicorp.com/jp/ja/ir/ | 有価証券報告書 | 決算説明資料 | 統合報告書または中期経営計画 | 事業別ページまたは製品/サービスページ,business_bmcs/8058/8058-06-business.md,images/business_bmcs/8058/8058-06-business.png,テンプレート初期案。公式資料で事業境界、KPI、根拠URLを確認し、事業固有の記述へ更新してください。,2026-06-11,template_only,1,電力ソリューション,公式資料で事業境界、主要顧客、価値提案、収益源を確認し、このテンプレート初期案を事業固有のBMCへ更新する
6,8058,三菱商事,卸売業,7,8058-07-business,複合都市開発,template_only,公式セグメントまたは主要事業を起点にした深掘り候補,https://www.mitsubishicorp.com/jp/ja/ir/ | 有価証券報告書 | 決算説明資料 | 統合報告書または中期経営計画 | 事業別ページまたは製品/サービスページ,business_bmcs/8058/8058-07-business.md,images/business_bmcs/8058/8058-07-business.png,テンプレート初期案。同一企業内で同じ原型BMCを共有する候補が2件あります: 金属資源、複合都市開発。公式資料で事業別に再調査してください。,2026-06-11,template_only,2,金属資源、複合都市開発,公式資料で事業境界、主要顧客、価値提案、収益源を確認し、このテンプレート初期案を事業固有のBMCへ更新する
7,9984,ソフトバンクグループ,情報・通信業,1,9984-01-business,持株会社投資事業,template_only,公式セグメントまたは主要事業を起点にした深掘り候補,https://group.softbank/ir/ | 有価証券報告書 | 決算説明資料 | 統合報告書または中期経営計画 | 事業別ページまたは製品/サービスページ,business_bmcs/9984/9984-01-business.md,images/business_bmcs/9984/9984-01-business.png,テンプレート初期案。同一企業内で同じ原型BMCを共有する候補が4件あります: 持株会社投資事業、ソフトバンク・ビジョン・ファンド、Arm、その他投資。公式資料で事業別に再調査してください。,2026-06-11,template_only,4,持株会社投資事業、ソフトバンク・ビジョン・ファンド、Arm、その他投資,公式資料で事業境界、主要顧客、価値提案、収益源を確認し、このテンプレート初期案を事業固有のBMCへ更新する
7,9984,ソフトバンクグループ,情報・通信業,2,9984-02-business,ソフトバンク・ビジョン・ファンド,template_only,公式セグメントまたは主要事業を起点にした深掘り候補,https://group.softbank/ir/ | 有価証券報告書 | 決算説明資料 | 統合報告書または中期経営計画 | 事業別ページまたは製品/サービスページ,business_bmcs/9984/9984-02-business.md,images/business_bmcs/9984/9984-02-business.png,テンプレート初期案。同一企業内で同じ原型BMCを共有する候補が4件あります: 持株会社投資事業、ソフトバンク・ビジョン・ファンド、Arm、その他投資。公式資料で事業別に再調査してください。,2026-06-11,template_only,4,持株会社投資事業、ソフトバンク・ビジョン・ファンド、Arm、その他投資,公式資料で事業境界、主要顧客、価値提案、収益源を確認し、このテンプレート初期案を事業固有のBMCへ更新する
7,9984,ソフトバンクグループ,情報・通信業,3,9984-03-arm,Arm,template_only,公式セグメントまたは主要事業を起点にした深掘り候補,https://group.softbank/ir/ | 有価証券報告書 | 決算説明資料 | 統合報告書または中期経営計画 | 事業別ページまたは製品/サービスページ,business_bmcs/9984/9984-03-arm.md,images/business_bmcs/9984/9984-03-arm.png,テンプレート初期案。同一企業内で同じ原型BMCを共有する候補が4件あります: 持株会社投資事業、ソフトバンク・ビジョン・ファンド、Arm、その他投資。公式資料で事業別に再調査してください。,2026-06-11,template_only,4,持株会社投資事業、ソフトバンク・ビジョン・ファンド、Arm、その他投資,公式資料で事業境界、主要顧客、価値提案、収益源を確認し、このテンプレート初期案を事業固有のBMCへ更新する
7,9984,ソフトバンクグループ,情報・通信業,4,9984-04-business,その他投資,template_only,公式セグメントまたは主要事業を起点にした深掘り候補,https://group.softbank/ir/ | 有価証券報告書 | 決算説明資料 | 統合報告書または中期経営計画 | 事業別ページまたは製品/サービスページ,business_bmcs/9984/9984-04-business.md,images/business_bmcs/9984/9984-04-business.png,テンプレート初期案。同一企業内で同じ原型BMCを共有する候補が4件あります: 持株会社投資事業、ソフトバンク・ビジョン・ファンド、Arm、その他投資。公式資料で事業別に再調査してください。,2026-06-11,template_only,4,持株会社投資事業、ソフトバンク・ビジョン・ファンド、Arm、その他投資,公式資料で事業境界、主要顧客、価値提案、収益源を確認し、このテンプレート初期案を事業固有のBMCへ更新する
8,8035,東京エレクトロン,電気機器,1,8035-01-business,半導体製造装置,template_only,公式セグメントまたは主要事業を起点にした深掘り候補,https://www.tel.co.jp/ir/ | 有価証券報告書 | 決算説明資料 | 統合報告書または中期経営計画 | 事業別ページまたは製品/サービスページ,business_bmcs/8035/8035-01-business.md,images/business_bmcs/8035/8035-01-business.png,テンプレート初期案。同一企業内で同じ原型BMCを共有する候補が2件あります: 半導体製造装置、FPD製造装置。公式資料で事業別に再調査してください。,2026-06-11,template_only,2,半導体製造装置、FPD製造装置,公式資料で事業境界、主要顧客、価値提案、収益源を確認し、このテンプレート初期案を事業固有のBMCへ更新する
8,8035,東京エレクトロン,電気機器,2,8035-02-fpd,FPD製造装置,template_only,公式セグメントまたは主要事業を起点にした深掘り候補,https://www.tel.co.jp/ir/ | 有価証券報告書 | 決算説明資料 | 統合報告書または中期経営計画 | 事業別ページまたは製品/サービスページ,business_bmcs/8035/8035-02-fpd.md,images/business_bmcs/8035/8035-02-fpd.png,テンプレート初期案。同一企業内で同じ原型BMCを共有する候補が2件あります: 半導体製造装置、FPD製造装置。公式資料で事業別に再調査してください。,2026-06-11,template_only,2,半導体製造装置、FPD製造装置,公式資料で事業境界、主要顧客、価値提案、収益源を確認し、このテンプレート初期案を事業固有のBMCへ更新する
9,8411,みずほフィナンシャルグループ,銀行業,1,8411-01-business,リテール・事業法人,template_only,公式セグメントまたは主要事業を起点にした深掘り候補,https://www.mizuho-fg.co.jp/investors/ | 有価証券報告書 | 決算説明資料 | 統合報告書または中期経営計画 | 事業別ページまたは製品/サービスページ,business_bmcs/8411/8411-01-business.md,images/business_bmcs/8411/8411-01-business.png,テンプレート初期案。同一企業内で同じ原型BMCを共有する候補が4件あります: リテール・事業法人、コーポレート&インベストメントバンキング、グローバルコーポレート&インベストメントバンキング、アセットマネジメント。公式資料で事業別に再調査してください。,2026-06-11,template_only,4,リテール・事業法人、コーポレート&インベストメントバンキング、グローバルコーポレート&インベストメントバンキング、アセットマネジメント,公式資料で事業境界、主要顧客、価値提案、収益源を確認し、このテンプレート初期案を事業固有のBMCへ更新する
9,8411,みずほフィナンシャルグループ,銀行業,2,8411-02-business,コーポレート&インベストメントバンキング,template_only,公式セグメントまたは主要事業を起点にした深掘り候補,https://www.mizuho-fg.co.jp/investors/ | 有価証券報告書 | 決算説明資料 | 統合報告書または中期経営計画 | 事業別ページまたは製品/サービスページ,business_bmcs/8411/8411-02-business.md,images/business_bmcs/8411/8411-02-business.png,テンプレート初期案。同一企業内で同じ原型BMCを共有する候補が4件あります: リテール・事業法人、コーポレート&インベストメントバンキング、グローバルコーポレート&インベストメントバンキング、アセットマネジメント。公式資料で事業別に再調査してください。,2026-06-11,template_only,4,リテール・事業法人、コーポレート&インベストメントバンキング、グローバルコーポレート&インベストメントバンキング、アセットマネジメント,公式資料で事業境界、主要顧客、価値提案、収益源を確認し、このテンプレート初期案を事業固有のBMCへ更新する
9,8411,みずほフィナンシャルグループ,銀行業,3,8411-03-business,グローバルコーポレート&インベストメントバンキング,template_only,公式セグメントまたは主要事業を起点にした深掘り候補,https://www.mizuho-fg.co.jp/investors/ | 有価証券報告書 | 決算説明資料 | 統合報告書または中期経営計画 | 事業別ページまたは製品/サービスページ,business_bmcs/8411/8411-03-business.md,images/business_bmcs/8411/8411-03-business.png,テンプレート初期案。同一企業内で同じ原型BMCを共有する候補が4件あります: リテール・事業法人、コーポレート&インベストメントバンキング、グローバルコーポレート&インベストメントバンキング、アセットマネジメント。公式資料で事業別に再調査してください。,2026-06-11,template_only,4,リテール・事業法人、コーポレート&インベストメントバンキング、グローバルコーポレート&インベストメントバンキング、アセットマネジメント,公式資料で事業境界、主要顧客、価値提案、収益源を確認し、このテンプレート初期案を事業固有のBMCへ更新する
9,8411,みずほフィナンシャルグループ,銀行業,4,8411-04-business,アセットマネジメント,template_only,公式セグメントまたは主要事業を起点にした深掘り候補,https://www.mizuho-fg.co.jp/investors/ | 有価証券報告書 | 決算説明資料 | 統合報告書または中期経営計画 | 事業別ページまたは製品/サービスページ,business_bmcs/8411/8411-04-business.md,images/business_bmcs/8411/8411-04-business.png,テンプレート初期案。同一企業内で同じ原型BMCを共有する候補が4件あります: リテール・事業法人、コーポレート&インベストメントバンキング、グローバルコーポレート&インベストメントバンキング、アセットマネジメント。公式資料で事業別に再調査してください。,2026-06-11,template_only,4,リテール・事業法人、コーポレート&インベストメントバンキング、グローバルコーポレート&インベストメントバンキング、アセットマネジメント,公式資料で事業境界、主要顧客、価値提案、収益源を確認し、このテンプレート初期案を事業固有のBMCへ更新する
9,8411,みずほフィナンシャルグループ,銀行業,5,8411-05-business,市場,template_only,公式セグメントまたは主要事業を起点にした深掘り候補,https://www.mizuho-fg.co.jp/investors/ | 有価証券報告書 | 決算説明資料 | 統合報告書または中期経営計画 | 事業別ページまたは製品/サービスページ,business_bmcs/8411/8411-05-business.md,images/business_bmcs/8411/8411-05-business.png,テンプレート初期案。公式資料で事業境界、KPI、根拠URLを確認し、事業固有の記述へ更新してください。,2026-06-11,template_only,1,市場,公式資料で事業境界、主要顧客、価値提案、収益源を確認し、このテンプレート初期案を事業固有のBMCへ更新する
10,8031,三井物産,卸売業,1,8031-01-business,金属資源,template_only,公式セグメントまたは主要事業を起点にした深掘り候補,https://www.mitsui.com/jp/ja/ir/ | 有価証券報告書 | 決算説明資料 | 統合報告書または中期経営計画 | 事業別ページまたは製品/サービスページ,business_bmcs/8031/8031-01-business.md,images/business_bmcs/8031/8031-01-business.png,テンプレート初期案。同一企業内で同じ原型BMCを共有する候補が4件あります: 金属資源、エネルギー、化学品、生活産業。公式資料で事業別に再調査してください。,2026-06-11,template_only,4,金属資源、エネルギー、化学品、生活産業,公式資料で事業境界、主要顧客、価値提案、収益源を確認し、このテンプレート初期案を事業固有のBMCへ更新する
